MSM2018,LBA_Name,Sector_1,Sector_2,Sector_3,
1,Rodney,West Auckland,Rodney,Rodney,
2,Rodney,West Auckland,Rodney,Rodney,
3,Rodney,West Auckland,Rodney,Rodney,
4,Rodney,West Auckland,Rodney,Rodney,
5,Rodney,West Auckland,Rodney,Rodney,
6,Rodney,West Auckland,Rodney,Rodney,
7,Rodney,West Auckland,Rodney,Rodney,
8,Rodney,West Auckland,Rodney,Rodney,
9,Rodney,West Auckland,Rodney,Rodney,
10,Rodney,West Auckland,Rodney,Rodney,
11,Rodney,West Auckland,Rodney,Rodney,
12,Rodney,West Auckland,Rodney,Rodney,
13,Rodney,West Auckland,Rodney,Rodney,
14,Rodney,West Auckland,Rodney,Rodney,
15,Rodney,West Auckland,Rodney,Rodney,
16,Rodney,West Auckland,Rodney,Rodney,
17,Rodney,West Auckland,Rodney,Rodney,
18,Hibiscus and Bays,North Shore,Hibiscus Coast,Hibiscus Coast,
19,Hibiscus and Bays,North Shore,Hibiscus Coast,Hibiscus Coast,
20,Hibiscus and Bays,North Shore,Hibiscus Coast,Hibiscus Coast,
21,Hibiscus and Bays,North Shore,Hibiscus Coast,Hibiscus Coast,
22,Hibiscus and Bays,North Shore,Hibiscus Coast,Hibiscus Coast,
23,Hibiscus and Bays,North Shore,Hibiscus Coast,Hibiscus Coast,
24,Hibiscus and Bays,North Shore,Hibiscus Coast,Hibiscus Coast,
25,Hibiscus and Bays,North Shore,Hibiscus Coast,Hibiscus Coast,
26,Hibiscus and Bays,North Shore,Hibiscus Coast,Hibiscus Coast,
27,Hibiscus and Bays,North Shore,Hibiscus Coast,Hibiscus Coast,
28,Hibiscus and Bays,North Shore,Hibiscus Coast,Hibiscus Coast,
29,Hibiscus and Bays,North Shore,Hibiscus Coast,Hibiscus Coast,
30,Hibiscus and Bays,North Shore,Hibiscus Coast,Hibiscus Coast,
31,Rodney,West Auckland,Rodney,Rodney,
32,Rodney,West Auckland,Rodney,Rodney,
33,Rodney,West Auckland,Rodney,Rodney,
34,Rodney,West Auckland,Rodney,Rodney,
35,Hibiscus and Bays,North Shore,Hibiscus Coast,Hibiscus Coast,
36,Hibiscus and Bays,North Shore,Hibiscus Coast,Hibiscus Coast,
37,Hibiscus and Bays,North Shore,Hibiscus Coast,Hibiscus Coast,
38,Rodney,West Auckland,Rodney,Rodney,
39,Rodney,West Auckland,Rodney,Rodney,
40,Rodney,West Auckland,Rodney,Rodney,
41,Rodney,West Auckland,Rodney,Rodney,
42,Rodney,West Auckland,Rodney,Rodney,
43,Rodney,West Auckland,Rodney,Rodney,
44,Rodney,West Auckland,Rodney,Rodney,
45,Rodney,West Auckland,Rodney,Rodney,
46,Rodney,West Auckland,Rodney,Rodney,
47,Rodney,West Auckland,Rodney,Rodney,
48,Hibiscus and Bays,North Shore,North Shore,NE North Shore,
49,Hibiscus and Bays,North Shore,North Shore,NE North Shore,
50,Hibiscus and Bays,North Shore,North Shore,NE North Shore,
51,Hibiscus and Bays,North Shore,North Shore,NE North Shore,
52,Hibiscus and Bays,North Shore,North Shore,NE North Shore,
53,Upper Harbour,North Shore,North Shore,Albany,
54,Upper Harbour,North Shore,North Shore,Albany,
55,Hibiscus and Bays,North Shore,North Shore,NE North Shore,
56,Hibiscus and Bays,North Shore,North Shore,NE North Shore,
57,Hibiscus and Bays,North Shore,North Shore,NE North Shore,
58,Hibiscus and Bays,North Shore,North Shore,NE North Shore,
59,Hibiscus and Bays,North Shore,North Shore,NE North Shore,
60,Hibiscus and Bays,North Shore,North Shore,NE North Shore,
61,Upper Harbour,North Shore,North Shore,Albany,
62,Upper Harbour,North Shore,North Shore,Albany,
63,Hibiscus and Bays,North Shore,North Shore,NE North Shore,
64,Hibiscus and Bays,North Shore,North Shore,NE North Shore,
65,Hibiscus and Bays,North Shore,North Shore,NE North Shore,
66,Upper Harbour,North Shore,North Shore,Albany,
67,Upper Harbour,North Shore,North Shore,Albany,
68,Upper Harbour,North Shore,North Shore,Albany,
69,Rodney,West Auckland,Rodney,Rodney,
70,Upper Harbour,North Shore,North Shore,Albany,
71,Upper Harbour,North Shore,North Shore,Albany,
72,Upper Harbour,North Shore,North Shore,Albany,
73,Upper Harbour,North Shore,North Shore,Albany,
74,Upper Harbour,North Shore,North Shore,Albany,
75,Upper Harbour,North Shore,North Shore,Albany,
76,Upper Harbour,North Shore,North Shore,Albany,
77,Upper Harbour,North Shore,North Shore,Albany,
78,Upper Harbour,North Shore,North Shore,Albany,
79,Upper Harbour,North Shore,North Shore,Albany,
80,Upper Harbour,North Shore,North Shore,Albany,
81,Upper Harbour,North Shore,North Shore,Albany,
82,Upper Harbour,North Shore,North Shore,Albany,
83,Upper Harbour,North Shore,North Shore,Albany,
84,Kaipatiki,North Shore,North Shore,Kaipatiki,
85,Kaipatiki,North Shore,North Shore,Kaipatiki,
86,Kaipatiki,North Shore,North Shore,Kaipatiki,
87,Kaipatiki,North Shore,North Shore,Kaipatiki,
88,Kaipatiki,North Shore,North Shore,Kaipatiki,
89,Kaipatiki,North Shore,North Shore,Kaipatiki,
90,Kaipatiki,North Shore,North Shore,Kaipatiki,
91,Kaipatiki,North Shore,North Shore,Kaipatiki,
92,Kaipatiki,North Shore,North Shore,Kaipatiki,
93,Kaipatiki,North Shore,North Shore,Kaipatiki,
94,Kaipatiki,North Shore,North Shore,Kaipatiki,
95,Kaipatiki,North Shore,North Shore,Kaipatiki,
96,Kaipatiki,North Shore,North Shore,Kaipatiki,
97,Kaipatiki,North Shore,North Shore,Kaipatiki,
98,Kaipatiki,North Shore,North Shore,Kaipatiki,
99,Kaipatiki,North Shore,North Shore,Kaipatiki,
100,Kaipatiki,North Shore,North Shore,Kaipatiki,
101,Kaipatiki,North Shore,North Shore,Kaipatiki,
102,Kaipatiki,North Shore,North Shore,Kaipatiki,
103,Kaipatiki,North Shore,North Shore,Kaipatiki,
104,Kaipatiki,North Shore,North Shore,Kaipatiki,
105,Kaipatiki,North Shore,North Shore,Kaipatiki,
106,Kaipatiki,North Shore,North Shore,Kaipatiki,
107,Kaipatiki,North Shore,North Shore,Kaipatiki,
108,Kaipatiki,North Shore,North Shore,Kaipatiki,
109,Kaipatiki,North Shore,North Shore,Kaipatiki,
110,Kaipatiki,North Shore,North Shore,Kaipatiki,
111,Kaipatiki,North Shore,North Shore,Kaipatiki,
112,Kaipatiki,North Shore,North Shore,Kaipatiki,
113,Devonport - Takapuna,North Shore,North Shore,Devonport - Takapuna,
114,Devonport - Takapuna,North Shore,North Shore,Devonport - Takapuna,
115,Hibiscus and Bays,North Shore,North Shore,NE North Shore,
116,Hibiscus and Bays,North Shore,North Shore,NE North Shore,
117,Devonport - Takapuna,North Shore,North Shore,Devonport - Takapuna,
118,Devonport - Takapuna,North Shore,North Shore,Devonport - Takapuna,
119,Devonport - Takapuna,North Shore,North Shore,Devonport - Takapuna,
120,Devonport - Takapuna,North Shore,North Shore,Devonport - Takapuna,
121,Devonport - Takapuna,North Shore,North Shore,Devonport - Takapuna,
122,Devonport - Takapuna,North Shore,North Shore,Devonport - Takapuna,
123,Devonport - Takapuna,North Shore,North Shore,Devonport - Takapuna,
124,Devonport - Takapuna,North Shore,North Shore,Devonport - Takapuna,
125,Devonport - Takapuna,North Shore,North Shore,Devonport - Takapuna,
126,Devonport - Takapuna,North Shore,North Shore,Devonport - Takapuna,
127,Devonport - Takapuna,North Shore,North Shore,Devonport - Takapuna,
128,Devonport - Takapuna,North Shore,North Shore,Devonport - Takapuna,
129,Devonport - Takapuna,North Shore,North Shore,Devonport - Takapuna,
130,Devonport - Takapuna,North Shore,North Shore,Devonport - Takapuna,
131,Devonport - Takapuna,North Shore,North Shore,Devonport - Takapuna,
132,Devonport - Takapuna,North Shore,North Shore,Devonport - Takapuna,
133,Devonport - Takapuna,North Shore,North Shore,Devonport - Takapuna,
134,Devonport - Takapuna,North Shore,North Shore,Devonport - Takapuna,
135,Rodney,West Auckland,Rodney,Rodney,
136,Rodney,West Auckland,Rodney,Rodney,
137,Rodney,West Auckland,Rodney,Rodney,
138,Rodney,West Auckland,Rodney,Rodney,
139,Rodney,West Auckland,Rodney,Rodney,
140,Rodney,West Auckland,Rodney,Rodney,
141,Rodney,West Auckland,Rodney,Rodney,
142,Rodney,West Auckland,Rodney,Rodney,
143,Rodney,West Auckland,Rodney,Rodney,
144,Rodney,West Auckland,Rodney,Rodney,
145,Rodney,West Auckland,Rodney,Rodney,
146,Rodney,West Auckland,Rodney,Rodney,
147,Rodney,West Auckland,Rodney,Rodney,
148,Rodney,West Auckland,Rodney,Rodney,
149,Rodney,West Auckland,Rodney,Rodney,
150,Rodney,West Auckland,Rodney,Rodney,
151,Rodney,West Auckland,Rodney,Rodney,
152,Rodney,West Auckland,Rodney,Rodney,
153,Rodney,West Auckland,Rodney,Rodney,
154,Rodney,West Auckland,Rodney,Rodney,
155,Rodney,West Auckland,Rodney,Rodney,
156,Waitakere Ranges,West Auckland,West Auckland,Waitakere Ranges,
157,Henderson - Massey,West Auckland,West Auckland,Massey,
158,Rodney,West Auckland,Rodney,Rodney,
159,Henderson - Massey,West Auckland,West Auckland,Massey,
160,Henderson - Massey,West Auckland,West Auckland,Massey,
161,Henderson - Massey,West Auckland,West Auckland,Massey,
162,Rodney,West Auckland,Rodney,Rodney,
163,Henderson - Massey,West Auckland,West Auckland,Massey,
164,Henderson - Massey,West Auckland,West Auckland,Massey,
165,Upper Harbour,West Auckland,West Auckland,Hobsonville,
166,Upper Harbour,West Auckland,West Auckland,Hobsonville,
167,Upper Harbour,West Auckland,West Auckland,Hobsonville,
168,Upper Harbour,West Auckland,West Auckland,Hobsonville,
169,Upper Harbour,West Auckland,West Auckland,Hobsonville,
170,Upper Harbour,West Auckland,West Auckland,Hobsonville,
171,Upper Harbour,West Auckland,West Auckland,Hobsonville,
172,Upper Harbour,West Auckland,West Auckland,Hobsonville,
173,Upper Harbour,West Auckland,West Auckland,Hobsonville,
174,Henderson - Massey,West Auckland,West Auckland,Massey,
175,Upper Harbour,West Auckland,West Auckland,Hobsonville,
176,Upper Harbour,West Auckland,West Auckland,Hobsonville,
177,Upper Harbour,West Auckland,West Auckland,Hobsonville,
178,Upper Harbour,West Auckland,West Auckland,Hobsonville,
179,Upper Harbour,West Auckland,West Auckland,Hobsonville,
180,Upper Harbour,West Auckland,West Auckland,Hobsonville,
181,Upper Harbour,West Auckland,West Auckland,Hobsonville,
182,Upper Harbour,West Auckland,West Auckland,Hobsonville,
183,Henderson - Massey,West Auckland,West Auckland,Massey,
184,Henderson - Massey,West Auckland,West Auckland,Massey,
185,Henderson - Massey,West Auckland,West Auckland,Massey,
186,Henderson - Massey,West Auckland,West Auckland,Massey,
187,Henderson - Massey,West Auckland,West Auckland,Massey,
188,Henderson - Massey,West Auckland,West Auckland,Massey,
189,Henderson - Massey,West Auckland,West Auckland,Massey,
190,Henderson - Massey,West Auckland,West Auckland,Massey,
191,Waitakere Ranges,West Auckland,West Auckland,Waitakere Ranges,
192,Henderson - Massey,West Auckland,West Auckland,Henderson,
193,Henderson - Massey,West Auckland,West Auckland,Henderson,
194,Henderson - Massey,West Auckland,West Auckland,Henderson,
195,Waitakere Ranges,West Auckland,West Auckland,Waitakere Ranges,
196,Henderson - Massey,West Auckland,West Auckland,Henderson,
197,Henderson - Massey,West Auckland,West Auckland,Henderson,
198,Henderson - Massey,West Auckland,West Auckland,Henderson,
199,Henderson - Massey,West Auckland,West Auckland,Henderson,
200,Henderson - Massey,West Auckland,West Auckland,Henderson,
201,Henderson - Massey,West Auckland,West Auckland,Henderson,
202,Henderson - Massey,West Auckland,West Auckland,Henderson,
203,Henderson - Massey,West Auckland,West Auckland,Henderson,
204,Henderson - Massey,West Auckland,West Auckland,Henderson,
205,Henderson - Massey,West Auckland,West Auckland,Henderson,
206,Henderson - Massey,West Auckland,West Auckland,Henderson,
207,Henderson - Massey,West Auckland,West Auckland,Henderson,
208,Henderson - Massey,West Auckland,West Auckland,Henderson,
209,Henderson - Massey,West Auckland,West Auckland,Henderson,
210,Henderson - Massey,West Auckland,West Auckland,Henderson,
211,Henderson - Massey,West Auckland,West Auckland,Henderson,
212,Henderson - Massey,West Auckland,West Auckland,Henderson,
213,Henderson - Massey,West Auckland,West Auckland,Henderson,
214,Waitakere Ranges,West Auckland,West Auckland,Waitakere Ranges,
215,Henderson - Massey,West Auckland,West Auckland,Henderson,
216,Henderson - Massey,West Auckland,West Auckland,Henderson,
217,Henderson - Massey,West Auckland,West Auckland,Henderson,
218,Henderson - Massey,West Auckland,West Auckland,Henderson,
219,Whau,West Auckland,Isthmus West,Whau,
220,Whau,West Auckland,Isthmus West,Whau,
221,Waitakere Ranges,West Auckland,West Auckland,Waitakere Ranges,
222,Whau,West Auckland,Isthmus West,Whau,
223,Waitakere Ranges,West Auckland,West Auckland,Waitakere Ranges,
224,Waitakere Ranges,West Auckland,West Auckland,Waitakere Ranges,
225,Waitakere Ranges,West Auckland,West Auckland,Waitakere Ranges,
226,Waitakere Ranges,West Auckland,West Auckland,Waitakere Ranges,
227,Waitakere Ranges,West Auckland,West Auckland,Waitakere Ranges,
228,Waitakere Ranges,West Auckland,West Auckland,Waitakere Ranges,
229,Waitakere Ranges,West Auckland,West Auckland,Waitakere Ranges,
230,Waitakere Ranges,West Auckland,West Auckland,Waitakere Ranges,
231,Waitakere Ranges,West Auckland,West Auckland,Waitakere Ranges,
232,Waitakere Ranges,West Auckland,West Auckland,Waitakere Ranges,
233,Waitakere Ranges,West Auckland,West Auckland,Waitakere Ranges,
234,Waitakere Ranges,West Auckland,West Auckland,Waitakere Ranges,
235,Whau,West Auckland,Isthmus West,Whau,
236,Whau,West Auckland,Isthmus West,Whau,
237,Whau,West Auckland,Isthmus West,Whau,
238,Whau,West Auckland,Isthmus West,Whau,
239,Whau,West Auckland,Isthmus West,Whau,
240,Whau,West Auckland,Isthmus West,Whau,
241,Whau,West Auckland,Isthmus West,Whau,
242,Whau,West Auckland,Isthmus West,Whau,
243,Waitemata,City Centre,CBD,CBD,
244,Waitemata,City Centre,CBD,CBD,
245,Waitemata,City Centre,CBD,CBD,
246,Waitemata,City Centre,CBD,CBD,
247,Waitemata,City Centre,CBD,CBD,
248,Waitemata,City Centre,CBD,CBD,
249,Waitemata,City Centre,CBD,CBD,
250,Waitemata,City Centre,CBD,CBD,
251,Waitemata,City Centre,CBD,CBD,
252,Waitemata,City Fringe,City Fringe West,City Fringe West,
253,Waitemata,City Fringe,City Fringe West,City Fringe West,
254,Waitemata,City Fringe,City Fringe West,City Fringe West,
255,Waitemata,City Fringe,City Fringe West,City Fringe West,
256,Waitemata,City Fringe,City Fringe West,City Fringe West,
257,Waitemata,City Fringe,City Fringe West,City Fringe West,
258,Waitemata,City Fringe,City Fringe West,City Fringe West,
259,Waitemata,City Fringe,City Fringe West,City Fringe West,
260,Waitemata,City Fringe,City Fringe West,City Fringe West,
261,Waitemata,City Fringe,City Fringe West,City Fringe West,
262,Waitemata,City Fringe,City Fringe West,City Fringe West,
263,Waitemata,City Fringe,City Fringe East,City Fringe East,
264,Waitemata,City Fringe,City Fringe East,City Fringe East,
265,Albert - Eden,Inner Isthmus,Inner Isthmus Central,Mount Eden / Epsom,
266,Waitemata,City Fringe,City Fringe East,City Fringe East,
267,Albert - Eden,Inner Isthmus,Inner Isthmus West,Inner Isthmus West,
268,Albert - Eden,Inner Isthmus,Inner Isthmus West,Inner Isthmus West,
269,Albert - Eden,Inner Isthmus,Inner Isthmus West,Inner Isthmus West,
270,Albert - Eden,Inner Isthmus,Inner Isthmus Central,Mount Eden / Epsom,
271,Albert - Eden,Inner Isthmus,Inner Isthmus Central,Mount Eden / Epsom,
272,Albert - Eden,Inner Isthmus,Inner Isthmus Central,Mount Eden / Epsom,
273,Albert - Eden,Inner Isthmus,Inner Isthmus Central,Mount Eden / Epsom,
274,Albert - Eden,Inner Isthmus,Inner Isthmus Central,Mount Eden / Epsom,
275,Albert - Eden,Inner Isthmus,Inner Isthmus Central,Mount Eden / Epsom,
276,Albert - Eden,Inner Isthmus,Inner Isthmus Central,Mount Eden / Epsom,
277,Albert - Eden,Inner Isthmus,Inner Isthmus Central,Mount Eden / Epsom,
278,Albert - Eden,Inner Isthmus,Inner Isthmus Central,Mount Eden / Epsom,
279,Albert - Eden,Inner Isthmus,Inner Isthmus Central,Mount Eden / Epsom,
280,Albert - Eden,Inner Isthmus,Inner Isthmus Central,Mount Eden / Epsom,
281,Waitemata,City Fringe,City Fringe East,City Fringe East,
282,Waitemata,City Fringe,City Fringe East,City Fringe East,
283,Waitemata,City Fringe,City Fringe East,City Fringe East,
284,Waitemata,City Fringe,City Fringe East,City Fringe East,
285,Waitemata,City Fringe,City Fringe East,City Fringe East,
286,Orakei,Inner Isthmus,Isthmus East,Remuera / Ellerslie,
287,Orakei,Inner Isthmus,Isthmus East,Remuera / Ellerslie,
288,Orakei,Inner Isthmus,Isthmus East,Remuera / Ellerslie,
289,Orakei,Inner Isthmus,Isthmus East,Remuera / Ellerslie,
290,Orakei,Inner Isthmus,Isthmus East,Remuera / Ellerslie,
291,Orakei,Inner Isthmus,Isthmus East,Remuera / Ellerslie,
292,Albert - Eden,Inner Isthmus,Inner Isthmus West,Inner Isthmus West,
293,Albert - Eden,Inner Isthmus,Inner Isthmus West,Inner Isthmus West,
294,Albert - Eden,Inner Isthmus,Inner Isthmus West,Inner Isthmus West,
295,Albert - Eden,Inner Isthmus,Inner Isthmus West,Inner Isthmus West,
296,Albert - Eden,Inner Isthmus,Inner Isthmus West,Inner Isthmus West,
297,Albert - Eden,Inner Isthmus,Inner Isthmus West,Inner Isthmus West,
298,Albert - Eden,Inner Isthmus,Inner Isthmus West,Inner Isthmus West,
299,Albert - Eden,Inner Isthmus,Inner Isthmus West,Inner Isthmus West,
300,Albert - Eden,Inner Isthmus,Inner Isthmus West,Inner Isthmus West,
301,Albert - Eden,Inner Isthmus,Inner Isthmus West,Inner Isthmus West,
302,Whau,West Auckland,Isthmus West,Whau,
303,Whau,West Auckland,Isthmus West,Whau,
304,Whau,West Auckland,Isthmus West,Whau,
305,Whau,West Auckland,Isthmus West,Whau,
306,Whau,West Auckland,Isthmus West,Whau,
307,Whau,West Auckland,Isthmus West,Whau,
308,Albert - Eden,Inner Isthmus,Inner Isthmus West,Inner Isthmus West,
309,Albert - Eden,Inner Isthmus,Inner Isthmus West,Inner Isthmus West,
310,Albert - Eden,Inner Isthmus,Inner Isthmus West,Inner Isthmus West,
311,Whau,West Auckland,Isthmus West,Whau,
312,Whau,West Auckland,Isthmus West,Whau,
313,Whau,West Auckland,Isthmus West,Whau,
314,Whau,West Auckland,Isthmus West,Whau,
315,Whau,West Auckland,Isthmus West,Whau,
316,Puketapapa,Outer Isthmus,Isthmus Central,Puketapapa,
317,Puketapapa,Outer Isthmus,Isthmus Central,Puketapapa,
318,Puketapapa,Outer Isthmus,Isthmus Central,Puketapapa,
319,Puketapapa,Outer Isthmus,Isthmus Central,Puketapapa,
320,Puketapapa,Outer Isthmus,Isthmus Central,Puketapapa,
321,Albert - Eden,Inner Isthmus,Inner Isthmus West,Inner Isthmus West,
322,Albert - Eden,Inner Isthmus,Inner Isthmus West,Inner Isthmus West,
323,Albert - Eden,Inner Isthmus,Inner Isthmus Central,Mount Eden / Epsom,
324,Albert - Eden,Inner Isthmus,Inner Isthmus Central,Mount Eden / Epsom,
325,Puketapapa,Outer Isthmus,Isthmus Central,Puketapapa,
326,Puketapapa,Outer Isthmus,Isthmus Central,Puketapapa,
327,Puketapapa,Outer Isthmus,Isthmus Central,Puketapapa,
328,Puketapapa,Outer Isthmus,Isthmus Central,Puketapapa,
329,Puketapapa,Outer Isthmus,Isthmus Central,Puketapapa,
330,Puketapapa,Outer Isthmus,Isthmus Central,Puketapapa,
331,Puketapapa,Outer Isthmus,Isthmus Central,Puketapapa,
332,Puketapapa,Outer Isthmus,Isthmus Central,Puketapapa,
333,Puketapapa,Outer Isthmus,Isthmus Central,Puketapapa,
334,Puketapapa,Outer Isthmus,Isthmus Central,Puketapapa,
335,Albert - Eden,Inner Isthmus,Inner Isthmus Central,Mount Eden / Epsom,
336,Albert - Eden,Inner Isthmus,Inner Isthmus Central,Mount Eden / Epsom,
337,Albert - Eden,Inner Isthmus,Inner Isthmus Central,Mount Eden / Epsom,
338,Puketapapa,Outer Isthmus,Isthmus Central,Puketapapa,
339,Maungakiekie - Tamaki,Outer Isthmus,Isthmus East,Onehunga / Penrose,
